"id","serie","number","title"
"0","Tom & Jerry (De Vrijbuiter) "," A064 "," De Muizenvanger"
"1","Thomas Pips "," C03 "," De Spekschieters"
"2","Robbedoes Weekblad ","1991","2752"
"3","Eppo ","1980","35"
"4","Fanfarax ","0"," In Marseille (Taptoe)"
"5","Donald Duck ","2001","14"
"6","Zonneland ","1956","26"
"7","Elfen ","6"," De Missie Van De Blauwe Elfen"
"8","Donald Duck ","1964","49"
"9","De Wondersloffen Van Sjakie ","31"," Golden Goal"
"10","Mondria Cartoonreeks ","0"," Lekkerbekken Humor"
"11","Gus ","2"," Mooie Schurk"
"12","Geheime Oorlogen II ","6"," Tegen Al Het Kwaad"
"13","Korak De Zoon Van Tarzan ","51"," Een Reusachtig Feest"
"14","Pep ","1967","10"
"15","Akim Held Van De Jungle "," K35 "," Vlucht In Het Verderf"
"16","Victoria ","208"," Het Zeemansgraf"
"17","Godfried Van Bouillon ","3"," De Zwarte Drakkar"
"18","Sheriff ","112"," De Genadeloze Oplichter"
"19","Bugs Bunny & Co "," Jaargang 01 "," Deel 07"
"20","Falk ","21"," De Oplossing Van Het Raadsel (1964)"
"21","Diversen ","0"," 100 Pagina's Dick"
"22","Murena ","3"," Een Volmaakte Moeder"
"23","Kuifje Weekblad ","1975","39"
"24","Tina ","2016","22"
"25","Essef ","7"," Essef 07"
"26","Giuseppe Bergman ","4"," Dromen Misschien, De Indische Avonturen Van Giuseppe Bergman"
"27","Pep ","1966","5"
"28","Donald Duck ","1990","49"
"29","Robbedoes Weekblad ","1971"," 1756 Reuzenposter"
"30","Stedenstrip ","8"," De Vlam Van Rotterdam"
"31","Donald Duck ","1999","26"
"32","Xoco ","2"," O Heer Die Voor Ons Gevild Werd"
"33","Suske En Wiske ","154"," Rikke En Wiske In Chocowakije"
"34","Merlijn (Merlin) ","8"," Oorlog Bij Dageraad"
"35","Tarzan (Classics) ","246"," De Woeste Sneeuwduivels"
"36","Noortje ","2"," Streng Verboden Te Lezen!"
"37","Batman Classics ","122"," De Joker In...De Lachende Vissen!"
"38","Kuifje Weekblad ","1986","33"
"39","Bonanza "," A06 "," Wie Waagt Die Wint"
"40","Kuifje Weekblad ","1958","38"
"41","Spiderwoman ","16"," Straf & Genade"
"42","Donald Duck ","1973","51"
"43","Robbedoes Weekblad ","1992","2826"
"44","Kuifje Weekblad ","1963","35"
"45","Akim Held Van De Jungle ","36"," Bitta Grijpt In"
"46","Zonneland ","1958","38"
"47","Opaal ","7"," Tanden Van Steen"
"48","Sjors En Sjimmie ","20"," Als Journalisten"
"49","De Rode Ridder (Kleur) ","161"," Catacomben"
"50","Geharrebar ","3"," Barbies"
"51","Senmoet De Egyptenaar ","2"," Deel 02"
"52","Snoesje ","11"," Snoesje En De Kulgude"
"53","Robbedoes Weekblad ","2000","3221"
"54","Donald Duck Extra "," 2006 12 "," De Grote Zalaman"
"55","Pol "," P07 "," Pol Als Bergbeklimmer (Andere scan)"
"56","Appleseed ","1"," Appleseed 01"
"57","Bob Morane "," D03 "," Het Zwaard Van De Paladijn"
"58","De Rose Panter "," A021 "," De Rose Panter Nr 21"
"59","Ivanov's Beeldroman (Tijdschrift) ","863"," Een Heel Gewoon Meisje"
"60","Robbedoes Weekblad ","1948","428"
"61","De Witte Ridder (Witte Ruiter) ","2"," De Magische Drank (Andere scan)"
"62","Donald Duck ","1977","50"
"63","Robbedoes Weekblad ","1996","3027"
"64","Suske En Wiske Weekblad ","1996","10"
"65","De Avonturen Van Urbanus ","67"," De Vergeten Willy"
"66","Lasso ","197"," Cherokee Bill"
"67","De Dwaas Van De Koning ","5"," Het Masker En De Pen"
"68","Suske En Wiske ","268"," De Koeiencommissie"
"69","Victoria ","204"," Schiet Hem Neer!!!"
"70","De Stamgasten ","37"," Uit Hun Dak"
"71","De Onschuldige Schuldigen ","1"," Het Lek"
"72","Robbedoes Weekblad ","1998","3118"
"73","Donald Duck ","1982","13"
"74","De Avonturen Van Kapitein Rob ","56"," Wapens Voor De Rio Florida (1961)"
"75","Tarzan (Classics) ","132"," Het Geheim Van De Grote Robijn"
"76","Eppo Wordt Vervolgd ","1985","19"
"77","Erotische Vertellingen ","38"," De Geile Draak"
"78","De Pioniers Van De Nieuwe Wereld ","9"," De Brandende Rivier"
"79","Donald Duck Extra "," 2013 03 "," Strijd Tegen De Verveling"
"80","Donald Duck ","1972","29"
"81","Losstaande Albums Van Peter Nuyten ","1"," Auguria"
"82","Sjors ","1968","22"
"83","Toen Ik Nog Baas Van De Wereld Was ","1"," Toen Ik Nog Baas Van De Wereld Was"
"84","Robbedoes Weekblad ","1959","1092"
"85","Biebel ","3"," De Biebelsporten"
"86","Suske En Wiske Winterboek ","2"," Winterboek 1974"
"87","Paling En Ko ","27"," Paniek In De Zoo"
"88","Robbedoes Weekblad ","1990","2739"
